id,name,type,address,phone,website,care_needs,languages,insurance,additional_support,rating,image
1,Smile Bright Mobile Dentistry,mobile_dentist,"123 Main St, Boston, MA 02108",(617) 555-1234,https://www.smilebrightmobile.com,"prophylaxis;fluoride;cancer_screening","english;spanish","masshealth;medicare;bcbs","nursing_home;homebound",4.8,https://via.placeholder.com/500x300?text=Smile+Bright
2,Community Dental Hygiene Services,dental_hygienist,"456 Washington St, Boston, MA 02109",(617) 555-5678,https://www.communitydentalservices.org,"prophylaxis;fluoride","english;spanish;haitian","masshealth;uninsured","homebound;disabled",4.6,https://via.placeholder.com/500x300?text=Community+Dental
3,Boston Healthcare Center,health_center,"789 Tremont St, Boston, MA 02116",(617) 555-9012,https://www.bostonhealthcare.org,"prophylaxis;fillings;extractions;endodontic;periodontal","english;spanish;chinese;vietnamese","masshealth;bcbs;aetna;cigna","disabled",4.9,https://via.placeholder.com/500x300?text=Boston+Healthcare
4,Tufts Dental School Clinic,dental_school,"1 Kneeland St, Boston, MA 02111",(617) 555-3456,https://www.tuftsdentalclinic.edu,"prophylaxis;fluoride;fillings;extractions;endodontic;periodontal;cancer_screening","english;spanish;portuguese","masshealth;private;delta","",4.7,https://via.placeholder.com/500x300?text=Tufts+Dental
5,North End Dental Mobile Services,mobile_dentist,"210 Hanover St, Boston, MA 02113",(617) 555-7890,https://www.nedentalmobile.com,"prophylaxis;fluoride;extractions","english;italian","medicare;bcbs;aetna","nursing_home;homebound;dementia",4.5,https://via.placeholder.com/500x300?text=North+End+Dental
6,Boston Public Health Commission Hygienist,dental_hygienist,"1010 Massachusetts Ave, Boston, MA 02118",(617) 555-2345,https://www.bphc.org/dental,"prophylaxis;fluoride;cancer_screening","english;spanish;haitian;cape_verdean","masshealth;uninsured","disabled;homebound",4.4,https://via.placeholder.com/500x300?text=BPHC+Dental
7,Dorchester Community Health Center,health_center,"1353 Dorchester Ave, Boston, MA 02122",(617) 555-6789,https://www.dorchesterhealth.org,"prophylaxis;fillings;extractions","english;spanish;vietnamese;haitian","masshealth;medicare;bcbs","disabled",4.8,https://via.placeholder.com/500x300?text=Dorchester+Health
8,Harvard School of Dental Medicine,dental_school,"188 Longwood Ave, Boston, MA 02115",(617) 555-0123,https://www.harvarddental.edu,"prophylaxis;fluoride;fillings;extractions;endodontic;periodontal;cancer_screening","english;spanish;arabic;french","private;delta;aetna;cigna","",4.9,https://via.placeholder.com/500x300?text=Harvard+Dental
9,Roslindale Mobile Dental Care,mobile_dentist,"4321 Washington St, Roslindale, MA 02131",(617) 555-4567,https://www.roslindaledentalcare.com,"prophylaxis;fluoride;fillings","english;spanish;portuguese","masshealth;medicare","nursing_home;homebound;dementia",4.3,https://via.placeholder.com/500x300?text=Roslindale+Dental
10,Cambridge Public Health Hygienist,dental_hygienist,"119 Windsor St, Cambridge, MA 02139",(617) 555-8901,https://www.cambridgepublichealth.org,"prophylaxis;fluoride;cancer_screening","english;spanish;portuguese;russian","masshealth;uninsured","disabled;homebound",4.6,https://via.placeholder.com/500x300?text=Cambridge+Health